"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Controleert of de status 'too_fast' wordt als de patiënt binnen 1 seconde beweegt.","4","Test Te Snelle Beweging","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Een rep mag alleen tellen als state 1 (omhoog) bereikt is geweest.","3","Rep Telt Niet Zonder has_hit_top (0→0 zonder 1)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Een beweging van exact 5.0 seconde valt op de grens en is 'too_slow'.","3","Grenswaarde: Beweging Precies op MAX_FREQ (5.0s)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Nooit gecalibreerd als polsen altijd buiten beeld zijn.","3","Test Calibratie Out of Frame","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Calibratie slaagt na CALIBRATION_DURATION seconden polsen in beeld.","1","Test Calibratie Happy Path","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of de status 'too_fast' wordt als de patiënt binnen 1 seconde beweegt.","4","Test Te Snelle Beweging","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Timer reset als polsen uit beeld verdwijnen.","1","Test Calibratie Onderbreking","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of de status 'too_slow' wordt als een beweging langer dan 5 seconden duurt.","2","Test Te Langzame Beweging","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of een Pi-error correct opgeslagen en teruggestuurd wordt.","2","Test Pi Error Opslaan en Ophalen","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of de status 'finished' wordt bij 20 reps voor oefening 2.","18","Test Oefening 2 Voltooid (Doekje vegen — 20 reps)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of een Pi-error correct opgeslagen en teruggestuurd wordt.","1","Test Pi Error Opslaan en Ophalen","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Nieuwe keypoints overschrijven de vorige.","1","Test Keypoints Worden Overschreven","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of keypoints correct opgeslagen en teruggestuurd worden.","1","Test Keypoints Opslaan en Ophalen","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of een herhaling binnen de 1-5 seconden correct wordt geteld.","6","Test Perfect Ritmische Beweging","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Nieuwe keypoints overschrijven de vorige.","1","Test Keypoints Worden Overschreven","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert dat lege keypoints {} correct terugkomen.","1","Test Lege Keypoints","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Nooit gecalibreerd als polsen altijd buiten beeld zijn.","4","Test Calibratie Out of Frame","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of de status 'finished' wordt zodra het doel van 15 reps bereikt is.","15","Test Oefening 1 Voltooid (Appels plukken — 15 reps)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleer dat /current werkt zonder dat er ooit een state gestuurd is.","4","Current Zonder State Update","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleer dat /current werkt zonder dat er ooit een state gestuurd is.","3","Current Zonder State Update","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of de status 'finished' wordt zodra het doel van 15 reps bereikt is.","13","Test Oefening 1 Voltooid (Appels plukken — 15 reps)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Calibratie slaagt na CALIBRATION_DURATION seconden polsen in beeld.","2","Test Calibratie Happy Path","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Controleert of de server herkent wanneer de patiënt stopt met bewegen.","3","Test Patiënt Staat Stil (Inactief)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Controleert of keypoints correct opgeslagen en teruggestuurd worden.","1","Test Keypoints Opslaan en Ophalen","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
"Een beweging van exact 1.0 seconde valt op de grens en is 'ok' (niet < MIN_FREQ).","3","Grenswaarde: Beweging Precies op MIN_FREQ (1.0s)","tests","2026-07-22","passed","2026-07-22","TestFysioFitLogic","test_server","",""
"Een rep mag alleen tellen als state 1 (omhoog) bereikt is geweest.","3","Rep Telt Niet Zonder has_hit_top (0→0 zonder 1)","","2026-06-18","passed","2026-06-18","TestFysioFitLogic","test_server","",""
